candidate_id,rollout_phase,destination,source_site,source_page_url,source_track_url,route_name,distance_km,elevation_gain_m,discipline,source_evidence,scenic_case,workout_hypothesis,acquisition_target,rider_status,rights_status,ingestion_status,next_action
IRL-WEB-011,1,Ireland,Sport Ireland Outdoors,https://www.sportireland.ie/outdoors/cycling-on-road/trails,,Loop Head Cycleway,61.1,,road,official_trail_index,Atlantic coast signature loop,endurance_unassessed,Trail manager or named Clare rider,unconfirmed,not_requested,discovery_only,"Ask the trail manager to nominate a rider who has completed the current exact loop"
IRL-WEB-012,1,Ireland,Sport Ireland Outdoors,https://www.sportireland.ie/outdoors/cycling-on-road/trails,,The Sheep's Head Looped Cycle,60.8,,road,official_trail_index,West Cork peninsula scenery,endurance_unassessed,Trail manager or named West Cork rider,unconfirmed,not_requested,discovery_only,"Ask the trail manager to nominate a rider who has completed the current exact loop"
GIR-WEB-001,2,Girona,Eat Sleep Cycle,https://www.eatsleepcycle.com/girona-cycling-routes/,https://www.wikiloc.com/cycling-trails/sant-andreu-salou-lanes-road-leisure-119775910,Sant Andreu Salou Lanes,41.6,281,road,operator_track_marked_recorded_loop,quiet flat Catalan lanes,recovery_or_endurance_candidate,Eat Sleep Cycle guide who recorded the track,unconfirmed,not_requested,discovery_only,"Ask Eat Sleep Cycle to nominate the staff guide who recorded or most recently rode this exact track"
GIR-WEB-002,2,Girona,Eat Sleep Cycle,https://www.eatsleepcycle.com/girona-cycling-routes/,https://www.wikiloc.com/cycling-trails/els-angels-and-santa-pelaia-road-intermediate-119775192,Els Àngels and Santa Pelaia,67.3,998,road,operator_track_marked_recorded_loop,iconic climbs and medieval villages,climbing_tempo_or_threshold_candidate,Eat Sleep Cycle guide who recorded the track,unconfirmed,not_requested,discovery_only,"Ask Eat Sleep Cycle to nominate the staff guide who recorded or most recently rode this exact track"
GIR-WEB-003,2,Girona,Eat Sleep Cycle,https://www.eatsleepcycle.com/girona-cycling-routes/,https://www.wikiloc.com/cycling-trails/costa-brava-classic-road-advanced-119774537,Costa Brava Classic,93.0,1212,road,operator_track_marked_recorded_loop,Sant Grau and Mediterranean coast,scenic_endurance_candidate,Eat Sleep Cycle guide who recorded the track,unconfirmed,not_requested,discovery_only,"Ask Eat Sleep Cycle to nominate the staff guide who recorded or most recently rode this exact track"
GIR-WEB-004,2,Girona,Eat Sleep Cycle,https://www.eatsleepcycle.com/girona-cycling-routes/,https://www.wikiloc.com/cycling-trails/the-rupit-loop-road-epic-119775130,The Rupit Loop,186.8,3250,road,operator_track_marked_recorded_loop,Garrotxa and clifftop Rupit,epic_endurance_candidate,Eat Sleep Cycle guide who recorded the track,unconfirmed,not_requested,discovery_only,"Ask Eat Sleep Cycle to nominate the staff guide who recorded or most recently rode this exact track"
GIR-WEB-005,2,Girona,Eat Sleep Cycle,https://www.eatsleepcycle.com/girona-cycling-routes/,https://www.wikiloc.com/cycling-trails/les-serres-mas-lunes-road-intermediate-119775625,Les Serres and Mas Llunes,57.7,522,road,operator_public_track,rolling local lanes,tempo_or_sweet_spot_candidate,Eat Sleep Cycle guide who recorded the track,unconfirmed,not_requested,discovery_only,"Confirm the recording metadata then ask Eat Sleep Cycle for the named rider"
GIR-WEB-006,2,Girona,Eat Sleep Cycle,https://www.eatsleepcycle.com/classic-climbs-of-girona-rocacorba/,https://ridewithgps.com/routes/50433954,Banyoles Lake and Rocacorba Loop,,,road,operator_guide_with_public_track_link,Banyoles lake and iconic summit,hill_threshold_or_vo2_candidate,Eat Sleep Cycle author or guide who rode the linked version,unconfirmed,not_requested,discovery_only,"Confirm which named guide rode the linked version and require a fresh personal export"
GIR-WEB-007,2,Girona,Epic Road Rides,https://epicroadrides.com/cycling-spain/girona-costa-brava/els-angels-girona-loop/,,Els Àngels Loop,71,1080,road,authored_route_guide_with_gpx,woodland climbs and medieval villages,climbing_tempo_candidate,Article author or named local collaborator,unconfirmed,not_requested,discovery_only,"Ask the publisher to nominate the person who rode the exact downloadable version"
GIR-WEB-008,2,Girona,Epic Road Rides,https://epicroadrides.com/cycling-spain/girona-costa-brava/mare-de-deu-del-mont-loop-girona/,,Mare de Déu del Mont Loop,120,2250,road,authored_route_guide_with_gpx,remote summit and Banyoles return,long_climbing_endurance_candidate,Article author or named local collaborator,unconfirmed,not_requested,discovery_only,"Ask the publisher to nominate the person who rode the exact downloadable version"
GIR-WEB-009,2,Girona,Epic Road Rides,https://epicroadrides.com/cycling-spain/girona-costa-brava/costa-brava-coastline-sant-grau-loop-girona/,,Costa Brava Coastline via Sant Grau,95,1230,road,authored_route_guide_with_gpx,Sant Grau and Tossa coast,scenic_endurance_candidate,Article author or named local collaborator,unconfirmed,not_requested,discovery_only,"Treat as an alternate version to GIR-WEB-003 and acquire only one current rider-backed geometry"
GIR-WEB-010,2,Girona,Epic Road Rides,https://epicroadrides.com/cycling-spain/girona-costa-brava/rocacorba-girona/,,Rocacorba,37,750,road,authored_route_guide_with_gpx,iconic Girona test climb,hill_threshold_or_vo2_candidate,Article author or named local collaborator,unconfirmed,not_requested,discovery_only,"Check whether this is a true loop then recruit the exact-version rider"
GIR-WEB-011,2,Girona,Epic Road Rides,https://epicroadrides.com/cycling-spain/girona-costa-brava/saint-hilari-sacalam-susqueda-dam-loop-girona/,,Sant Hilari Sacalm and Susqueda Dam Loop,114,1710,road,authored_route_guide_with_gpx,forest climb and dramatic reservoir,long_tempo_or_endurance_candidate,Article author or named local collaborator,unconfirmed,not_requested,discovery_only,"Ask the publisher to nominate the person who rode the exact downloadable version"
MLL-WEB-001,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-blog/best-mallorca-cycling-routes/,https://ridewithgps.com/routes/29010051,Bay of Pollensa Loop,77,1480,road,authored_tried_and_tested_guide,Formentor and Pollensa Bay,scenic_endurance_candidate,Article author or SunVelo guide who rode the exact version,unconfirmed,not_requested,discovery_only,"Recheck the linked track then acquire a personal recording from its rider"
MLL-WEB-002,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-spain/mallorca/puig-major-loop/,https://ridewithgps.com/routes/19189792,Puig Major Loop,138,2640,road,authored_tried_and_tested_guide,Tramuntana mountain classic,epic_endurance_candidate,Article author or named Mallorca guide,unconfirmed,not_requested,discovery_only,"Acquire only after the Ireland gate and Girona supply process are proven"
MLL-WEB-003,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-spain/mallorca/soller-deia-port-de-valldemossa-loop/,https://ridewithgps.com/routes/19989365,Sóller Deià and Port de Valldemossa Loop,61,1430,road,authored_tried_and_tested_guide,Tramuntana coast and switchbacks,climbing_endurance_candidate,Article author or named Mallorca guide,unconfirmed,not_requested,discovery_only,"Acquire only after the Ireland gate and Girona supply process are proven"
MLL-WEB-004,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-spain/mallorca/coll-de-femenia-sa-batalla-loop/,https://ridewithgps.com/routes/19190856,Coll de Femenia and Sa Batalla Loop,,,road,authored_route_guide_with_gpx,Lluc mountain roads,climbing_tempo_candidate,Article author or named Mallorca guide,unconfirmed,not_requested,discovery_only,"Confirm current distance and exact rider before intake"
MLL-WEB-005,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-blog/best-mallorca-cycling-routes/,,Puig de Randa Loop,112,1100,road,guide_contributed_route,central Mallorca villages and Cura summit,steady_endurance_candidate,David Harwood or another SunVelo guide who rode the exact version,unconfirmed,not_requested,discovery_only,"SunVelo is the natural named-rider acquisition partner for this route"
MLL-WEB-006,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-blog/best-mallorca-cycling-routes/,,Santa Magdalena and La Victoria Double,80,860,road,guide_contributed_route,two monastery climbs and coast,rolling_tempo_candidate,David Harwood or another SunVelo guide who rode the exact version,unconfirmed,not_requested,discovery_only,"SunVelo is the natural named-rider acquisition partner for this route"
MLL-WEB-007,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-blog/best-mallorca-cycling-routes/,,Southern Coast Classic,140,975,road,guide_contributed_route,flat fast roads to Sa Ràpita,long_tempo_or_endurance_candidate,David Harwood or another SunVelo guide who rode the exact version,unconfirmed,not_requested,discovery_only,"Strong future interval candidate but require exact-segment assessment by its rider"
MLL-WEB-008,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-blog/rides/routes/,https://ridewithgps.com/routes/55515860,Cap de Formentor Loop,36,960,road,route_archive_with_gpx,signature lighthouse road,short_climbing_endurance_candidate,Article author or named Mallorca guide,unconfirmed,not_requested,discovery_only,"Recheck seasonal traffic restrictions and current open-road conditions"
MLL-WEB-009,3,Mallorca,Epic Road Rides,https://epicroadrides.com/cycling-spain/mallorca/sa-calobra-climb/,https://ridewithgps.com/routes/55516101,Sa Calobra Loop,,,road,authored_route_guide_with_gpx,iconic hairpins and gorge,hill_threshold_candidate,Article author or named Mallorca guide,unconfirmed,not_requested,discovery_only,"Confirm a true loop version and descent warnings before contributor intake"
MLL-WEB-010,3,Mallorca,Mallorca 312,https://mallorca312.com/,,Mallorca 167 Loop,167,2475,road,current_event_route,Tramuntana event circuit,epic_endurance_unassessed,Event organiser nominated rider,unconfirmed,not_requested,event_lead_only,"Use only to recruit a rider who re-rides and records the route on normal open roads"
